Hr,Min,SW_down_Wm-2,SW_up_Wm-2,LW_down_Wm-2,LW_up_Wm-2,PAR_umolm-2s-1,Pressure_kPa,AirT_degreesC,RH_%,AccumlatedPrecip_mm
2.00000,32.0000,-1.07290,0.996728,-21.3936,-0.678888,0.145000,95.5700,18.2300,96.2000,0.00000
2.00000,33.0000,-1.08160,1.00350,-20.1599,-0.647058,0.205000,95.5700,18.2100,96.2000,0.00000
2.00000,34.0000,-1.23871,1.10548,-26.7263,-0.781335,0.122000,95.5700,18.2000,96.2000,0.00000
2.00000,35.0000,-1.31760,1.16656,-25.5917,-0.745629,0.160000,95.5700,18.2100,96.2000,0.00000
2.00000,36.0000,-1.36626,1.20978,-25.3081,-0.849278,0.132000,95.5800,18.1900,96.2000,0.00000
2.00000,37.0000,-1.35151,1.14653,-22.8648,-0.801579,0.247000,95.5800,18.1800,96.3000,0.00000
2.00000,38.0000,-1.27930,1.15773,-23.2592,-0.773559,0.139000,95.5800,18.1700,96.3000,0.00000
2.00000,39.0000,-1.22184,1.24021,-28.6205,-0.892680,0.225000,95.5800,18.1700,96.3000,0.00000
2.00000,40.0000,-1.57017,1.17285,-37.6978,-1.14657,0.136000,95.5700,18.1400,96.4000,0.00000
2.00000,41.0000,-1.76987,1.12077,-31.2321,-1.04777,0.162000,95.5700,18.1200,96.5000,0.00000
2.00000,42.0000,-1.40467,1.09223,-13.4449,-0.733877,0.134000,95.5700,18.0900,96.5000,0.00000
2.00000,43.0000,-1.00289,0.970999,-12.0506,-0.682292,0.141000,95.5700,18.0800,96.6000,0.00000
2.00000,44.0000,-0.901401,0.884080,-14.7320,-0.710148,0.197000,95.5700,18.0400,96.7000,0.00000
2.00000,45.0000,-0.900899,0.829703,-17.6668,-0.654837,0.212000,95.5700,18.0100,96.8000,0.00000
2.00000,46.0000,-1.01143,0.892592,-26.8651,-0.829271,0.139000,95.5700,17.9900,96.9000,0.00000
2.00000,47.0000,-1.29634,0.910139,-28.3677,-0.983871,0.152000,95.5700,17.9800,97.0000,0.00000
2.00000,48.0000,-1.46190,0.879531,-29.5559,-1.01611,0.147000,95.5700,17.9700,97.0000,0.00000
2.00000,49.0000,-1.48971,0.935881,-24.2372,-0.848818,0.163000,95.5700,17.9500,97.1000,0.00000
2.00000,50.0000,-1.17325,0.994695,-14.6869,-0.504132,0.205000,95.5700,17.9500,97.0000,0.00000
2.00000,51.0000,-0.975327,1.06185,-21.5702,-0.583416,0.114000,95.5700,17.9500,97.0000,0.00000
2.00000,52.0000,-1.11137,1.10342,-31.7327,-0.686277,0.142000,95.5800,17.9400,96.9000,0.00000
2.00000,53.0000,-1.36836,1.22069,-31.2775,-0.971825,0.131000,95.5700,17.9500,96.9000,0.00000
2.00000,54.0000,-1.40213,1.11639,-25.2409,-1.03952,0.191000,95.5700,17.9400,96.9000,0.00000
2.00000,55.0000,-1.39168,1.02096,-21.6932,-1.01968,0.137000,95.5800,17.9200,96.9000,0.00000
2.00000,56.0000,-1.37692,0.962265,-25.8453,-0.916096,0.104000,95.5800,17.8900,96.9000,0.00000
2.00000,57.0000,-1.45538,1.12091,-35.9540,-1.02729,0.128000,95.5800,17.8800,97.0000,0.00000
2.00000,58.0000,-1.57461,1.31843,-40.3930,-0.905317,0.114000,95.5700,17.8900,96.9000,0.00000
2.00000,59.0000,-1.84821,1.42884,-40.1421,-1.29793,0.156000,95.5800,17.9000,96.8000,0.00000
3.00000,0.00000,-1.96990,1.37073,-41.0738,-1.44413,0.136000,95.5800,17.8900,96.7000,0.00000
3.00000,1.00000,-2.01653,1.32695,-39.5210,-1.29779,0.156000,95.5700,17.8700,96.8000,0.00000
3.00000,2.00000,-1.91457,1.28351,-28.8127,-1.21064,0.218000,95.5700,17.8400,96.8000,0.00000
3.00000,3.00000,-1.55149,1.22947,-18.8770,-1.15064,0.153000,95.5600,17.8300,96.8000,0.00000
3.00000,4.00000,-1.14754,1.14269,-13.5654,-0.960328,0.204000,95.5700,17.8100,96.9000,0.00000
3.00000,5.00000,-0.867129,1.10751,-18.8736,-0.805407,0.197000,95.5700,17.8200,96.9000,0.00000
3.00000,6.00000,-0.884007,1.10995,-22.0986,-0.813348,0.212000,95.5700,17.8300,96.9000,0.00000
3.00000,7.00000,-0.848064,1.16648,-13.0765,-0.694945,0.198000,95.5700,17.8300,96.9000,0.00000
3.00000,8.00000,-0.559064,1.06897,-5.77045,-0.309379,0.114000,95.5600,17.8300,96.8000,0.00000
3.00000,9.00000,-0.274217,1.10128,-4.87200,-0.146911,0.177000,95.5700,17.8400,96.8000,0.00000
3.00000,10.0000,-0.133878,1.04928,-5.04161,-0.269772,0.147000,95.5700,17.8400,96.8000,0.00000
3.00000,11.0000,-0.104000,0.985946,-6.85744,-0.0440492,0.0800000,95.5700,17.8300,96.8000,0.00000
3.00000,12.0000,-0.152748,1.06834,-14.4892,-0.261674,0.215000,95.5600,17.8500,96.8000,0.00000
3.00000,13.0000,-0.391088,1.00565,-9.43941,-0.266116,0.132000,95.5700,17.8500,96.8000,0.00000
3.00000,14.0000,-0.238086,1.02485,-4.38001,-0.174368,0.0870000,95.5700,17.8400,96.8000,0.00000
3.00000,15.0000,-0.129454,1.06211,-3.33398,0.0353177,0.152000,95.5700,17.8600,96.7000,0.00000
3.00000,16.0000,0.0318325,1.12297,-3.06314,-0.0830963,0.167000,95.5700,17.8800,96.6000,0.00000
3.00000,17.0000,0.0487055,1.03602,-2.44437,-0.126907,0.197000,95.5700,17.8700,96.6000,0.00000
3.00000,18.0000,0.0360828,0.916560,-2.57214,-0.0115875,0.157000,95.5700,17.8600,96.7000,0.00000
3.00000,19.0000,0.0788378,1.00969,-3.30656,-0.0591281,0.177000,95.5700,17.8600,96.7000,0.00000
3.00000,20.0000,0.0172552,0.936062,-4.19517,-0.186194,0.171000,95.5700,17.8800,96.7000,0.00000
3.00000,21.0000,-0.125461,0.920901,-6.17527,-0.158971,0.0980000,95.5600,17.8700,96.7000,0.00000
3.00000,22.0000,-0.132049,0.894711,-3.94000,-0.0282545,0.214000,95.5600,17.8700,96.7000,0.00000
3.00000,23.0000,-0.0617528,0.916471,-4.58762,-0.150875,0.105000,95.5600,17.8800,96.7000,0.00000
3.00000,24.0000,-0.151386,0.840496,-6.13465,-0.0992080,0.242000,95.5500,17.8600,96.7000,0.00000
3.00000,25.0000,-0.153000,0.888314,-4.20654,-0.218176,0.163000,95.5500,17.8600,96.7000,0.00000
3.00000,26.0000,-0.159586,0.788273,-2.09154,-0.103493,0.170000,95.5500,17.8600,96.7000,0.00000
3.00000,27.0000,0.0318324,0.977315,-2.17861,0.0122219,0.235000,95.5400,17.8700,96.7000,0.00000
3.00000,28.0000,0.0170424,0.925321,-2.13948,-0.123016,0.117000,95.5500,17.8700,96.7000,0.00000
3.00000,29.0000,-0.0424572,0.907988,-2.79686,-0.138651,0.101000,95.5500,17.8600,96.8000,0.00000
3.00000,30.0000,-0.0553353,0.847055,-4.75329,-0.123177,0.191000,95.5500,17.8500,96.8000,0.00000
3.00000,31.0000,-0.0826210,0.871082,-5.08538,-0.0711921,0.131000,95.5400,17.8600,96.8000,0.00000
3.00000,32.0000,-0.0574610,0.940285,-7.80772,-0.186037,0.181000,95.5400,17.8700,96.8000,0.00000
3.00000,33.0000,-0.188956,0.888368,-6.68566,-0.230640,0.208000,95.5400,17.8700,96.8000,0.00000
3.00000,34.0000,-0.184706,0.864299,-4.04029,-0.229924,0.135000,95.5500,17.8600,96.8000,0.00000
3.00000,35.0000,-0.165664,0.834058,-2.67128,-0.154763,0.164000,95.5500,17.8500,96.8000,0.00000
3.00000,36.0000,-0.0787524,0.851481,-2.71931,-0.0992866,0.163000,95.5500,17.8500,96.9000,0.00000
3.00000,37.0000,-0.0530404,0.873251,-2.53727,-0.177940,0.160000,95.5500,17.8500,96.9000,0.00000
3.00000,38.0000,-0.0659607,0.816869,-2.37814,-0.171115,0.177000,95.5500,17.8500,96.9000,0.00000
3.00000,39.0000,-0.0850433,0.760181,-2.76692,-0.167146,0.173000,95.5500,17.8400,96.9000,0.00000
3.00000,40.0000,-0.125334,0.710141,-2.64945,-0.111193,0.197000,95.5500,17.8300,97.0000,0.00000
3.00000,41.0000,-0.0680438,0.766834,-2.46662,-0.0992887,0.261000,95.5500,17.8400,97.0000,0.00000
3.00000,42.0000,-0.0489184,0.773089,-2.91128,-0.0989712,0.0870000,95.5500,17.8400,97.0000,0.00000
3.00000,43.0000,-0.0510006,0.775603,-3.12818,-0.154924,0.136000,95.5500,17.8300,97.1000,0.00000
3.00000,44.0000,-0.106420,0.727768,-4.29213,-0.115160,0.180000,95.5500,17.8200,97.1000,0.00000
3.00000,45.0000,-0.0677451,0.857955,-3.99182,-0.0753185,0.177000,95.5400,17.8400,97.1000,0.00000
3.00000,46.0000,-0.0526577,0.870857,-2.60689,-0.0672233,0.177000,95.5400,17.8600,97.0000,0.00000
3.00000,47.0000,-0.0147051,0.842712,-2.26553,-0.111351,0.0660000,95.5400,17.8600,96.9000,0.00000
3.00000,48.0000,-0.0361679,0.803533,-2.55837,-0.198496,0.115000,95.5400,17.8500,96.9000,0.00000
3.00000,49.0000,-0.0869137,0.768610,-2.80633,-0.0436516,0.229000,95.5400,17.8400,97.0000,0.00000
3.00000,50.0000,-0.0402478,0.823211,-2.96259,-0.0557156,0.131000,95.5400,17.8400,96.9000,0.00000
